,city,date,cloudiness,humidity,lat,lng,maxtemp,windspeed
346,Yangi Marg`ilon,1589177323,4,31,40.43,71.72,78.8,6.93
347,Port Hawkesbury,1589177324,1,80,45.62,-61.35,37.0,13.87
348,Pekan,1589177324,40,70,3.48,103.4,89.6,4.7
349,Hamilton,1589176921,75,60,39.18,-84.53,43.0,18.34
350,Lamu,1589177384,100,88,-2.27,40.9,79.2,18.43
351,Mount Gambier,1589177385,90,82,-37.83,140.77,57.2,6.93
352,Te Anau,1589177385,100,90,-45.42,167.72,50.23,2.86
353,Verkhnyaya Inta,1589177385,73,67,65.98,60.31,46.92,12.3
354,Leshukonskoye,1589177386,8,78,64.9,45.76,47.35,4.83
355,Lüderitz,1589177386,0,82,-26.65,15.16,60.8,3.36
356,Omboué,1589177386,100,91,-1.57,9.26,73.76,4.9
357,Petropavlovsk-Kamchatskiy,1589177386,0,37,53.05,158.65,50.0,13.42
358,Sokyryany,1589177387,90,55,48.45,27.42,64.0,8.01
359,Sant Julià de Loria,1589177387,82,64,42.46,1.48,53.01,3.13
360,Evansville,1589176984,40,61,37.97,-87.56,46.99,3.36
361,Pālghar,1589177387,1,63,19.68,72.75,93.2,14.99
362,Lufilufi,1589177388,5,64,-13.87,-171.6,84.88,4.52
363,Marawi,1589177388,74,83,8.0,124.29,84.99,10.0
364,São Félix do Xingu,1589177388,100,96,-6.64,-51.99,70.86,1.3
365,Valley City,1589177389,1,91,46.92,-98.0,32.0,5.82
366,Romitan,1589177389,44,39,39.93,64.38,84.2,2.24
367,Tiznit Province,1589177389,77,87,29.58,-9.5,56.3,7.52
368,Hualmay,1589177390,68,87,-11.1,-77.61,65.61,8.03
369,Frunze,1589177390,54,67,48.67,38.75,61.66,12.37
370,Banjar,1589177390,20,79,-8.19,114.97,86.0,13.87
371,Cidreira,1589177390,100,69,-30.18,-50.21,65.12,5.68
372,Olafsvik,1589177390,99,80,64.89,-23.71,43.18,13.0
373,Hofn,1589177391,1,60,64.25,-15.21,41.58,17.96
374,Comodoro Rivadavia,1589177210,17,57,-45.87,-67.5,50.0,13.87
375,Fernie,1589177391,90,48,49.5,-115.07,44.6,5.82
376,Khorramshahr,1589177392,85,34,30.44,48.17,82.4,9.17
377,Ballina,1589177392,40,63,-28.87,153.57,68.0,17.22
378,Fortuna,1589177392,1,100,40.6,-124.16,52.0,5.82
379,San Angelo,1589177144,100,45,31.46,-100.44,66.99,1.99
380,Birjand,1589177393,61,16,32.87,59.22,80.6,6.93
381,Srednekolymsk,1589177393,60,64,67.45,153.68,42.89,11.99
382,Ixtapa,1589177393,32,80,20.7,-105.2,75.0,2.75
383,Viamão,1589177393,99,87,-30.08,-51.02,64.99,2.24
384,Pitimbu,1589177394,80,100,-7.47,-34.81,73.4,3.36
385,Rizhao,1589177394,68,62,35.43,119.46,61.48,14.5
386,Half Moon Bay,1589177394,90,82,37.46,-122.43,55.99,9.17
387,Ancud,1589177395,75,100,-41.87,-73.82,48.0,2.24
388,Kabo,1589177395,70,75,7.7,18.63,78.58,7.92
389,Prigor,1589177395,72,43,44.94,22.11,71.6,12.75
390,Evensk,1589177395,100,98,61.95,159.23,34.11,2.73
391,Acapulco de Juárez,1589177268,20,83,16.86,-99.89,82.4,4.7
392,Kavieng,1589177396,67,75,-2.57,150.8,85.37,10.54
393,Haines Junction,1589177396,0,47,60.75,-137.51,55.02,3.18
394,Altay,1589177396,78,17,47.87,88.12,73.06,4.83
395,Broken Hill,1589177397,43,36,-31.95,141.43,60.8,8.05
396,Frolovo,1589177397,100,86,49.77,43.66,55.0,8.99
397,High Level,1589177397,40,41,58.52,-117.14,42.8,3.36
398,Virginia Beach,1589176876,1,67,36.85,-75.98,57.99,11.41
399,Galle,1589177397,99,74,6.04,80.22,85.62,10.94
400,Seoul,1589177437,39,40,37.57,126.98,73.4,11.41
401,Padang,1589177458,96,59,-0.95,100.35,88.81,7.7
402,Novichikha,1589177458,100,38,52.2,81.39,77.77,9.19
